6; 1,665; 79,0
71; 1,551; 50,0
74; 2,187; 55,0
70; 2,431; 47,0
73; 3,557; 60,0
76; 3,57; 49,0
78; 4,207; 51,0
86; 5,298; 66,0
3; 1,905; 65,0
70; 3,786; 63,0
94; 4,998; 67,0
71; 3,39; 56,0
77; 3,495; 50,0
71; 1,443; 63,0
3; 1,222; 64,0
25; 1,861; 44,0
26; 1,389; 44,0
73; 1,787; 60,0
78; 1,406; 61,0
70; 1,912; 46,0
73; 2,793; 70,0
1; 1,291; 63,0
67; 4,656; 74,0
74; 3,345; 63,0
77; 3,284; 65,0
84; 4,397; 68,0
71; 3,734; 60,0
92; 5,332; 72,0
77; 2,535; 78,0
92; 5,407; 75,0
67; 5,2; 51,0
71; 2,137; 67,0
73; 3,965; 68,0
3; 1,132; 75,0
67; 5,188; 56,0
3; 2,244; 72,0
71; 3,545; 63,0
92; 5,161; 72,0
94; 5,053; 62,0
70; 2,424; 55,0
78; 3,01; 58,0
85; 4,211; 71,0
86; 5,101; 43,0
97; 5,071; 66,0
84; 4,207; 63,0
71; 2,332; 57,0
77; 1,918; 61,0
84; 4,523; 68,0
92; 4,585; 73,0
94; 4,326; 63,0
15; 1,773; 82,0
71; 2,418; 60,0
77; 1,956; 62,0
70; 2,477; 53,0
76; 3,093; 50,0
78; 2,995; 52,0
3; 0,784; 64,0
10; 0,975; 83,0
40; 1,175; 68,0
3; 1,367; 63,0
10; 0,99; 70,0
18; 0,781; 62,0
34; 2,545; 69,0
35; 2,323; 59,0
46; 2,45; 75,0
52; 2,442; 78,0
54; 2,433; 71,0
70; 0,949; 42,0
98; 2,556; 0,0
97; 4,458; 66,0
3; 1,466; 66,0
52; 2,681; 60,0
63; 3,488; 55,0
70; 1,858; 29,0
73; 2,525; 44,0
76; 2,236; 35,0
85; 5,149; 72,0
86; 4,677; 55,0
97; 4,772; 66,0
3; 1,423; 60,0
34; 3,572; 73,0
46; 2,385; 70,0
51; 2,506; 75,0
3; 0,96; 52,0
10; 0,876; 41,0
70; 2,093; 47,0
73; 3,194; 51,0
76; 3,414; 49,0
78; 3,566; 54,0
85; 5,117; 76,0
97; 5,446; 62,0
3; 1,02; 52,0
10; 0,854; 40,0
35; 1,51; 58,0
40; 1,44; 58,0
46; 2,055; 74,0
51; 2,082; 84,0
52; 2,75; 82,0
54; 2,776; 74,0
63; 3,874; 60,0
73; 3,273; 47,0
76; 3,092; 39,0
78; 3,581; 45,0
86; 4,303; 49,0
67; 4,041; 67,0
71; 2,86; 52,0
77; 2,731; 49,0
84; 4,056; 71,0
92; 4,549; 58,0
94; 4,879; 55,0
1; 1,693; 54,0
6; 1,583; 39,0
62; 4,384; 75,0
64; 4,448; 78,0
67; 4,483; 71,0
77; 2,876; 54,0
84; 4,546; 76,0
1; 1,143; 51,0
6; 1,82; 51,0
56; 3,459; 77,0
62; 4,766; 67,0
71; 3,122; 64,0
74; 3,732; 56,0
77; 3,185; 65,0
84; 5,939; 70,0
94; 5,993; 57,0
97; 4,599; 62,0
76; 2,821; 51,0
78; 3,39; 49,0
86; 4,595; 45,0
97; 5,01; 62,0
70; 1,986; 54,0
85; 3,818; 74,0
86; 3,362; 43,0
97; 3,842; 59,0
3; 0,965; 69,0
58; 2,44; 70,0
60; 2,516; 72,0
62; 2,529; 69,0
71; 1,956; 57,0
74; 2,242; 53,0
77; 1,44; 63,0
84; 3,555; 66,0
92; 2,941; 70,0
1; 1,637; 71,0
6; 1,055; 78,0
67; 2,922; 76,0
84; 3,252; 70,0
92; 3,424; 65,0
1; 1,612; 57,0
6; 1,429; 78,0
64; 2,874; 84,0
74; 2,213; 57,0
77; 1,956; 54,0
62; 3,641; 75,0
64; 3,34; 79,0
71; 2,726; 58,0
74; 2,283; 50,0
77; 2,053; 53,0
92; 3,857; 68,0
73; 2,301; 55,0
1; 1,93; 55,0
74; 3,693; 58,0
92; 5,482; 67,0
94; 4,915; 58,0
1; 2,436; 57,0
71; 3,689; 51,0
74; 4,015; 46,0
77; 4,574; 56,0
84; 5,758; 64,0
94; 5,002; 56,0
1; 1,901; 60,0
1; 1,552; 58,0
6; 1,58; 70,0
67; 4,973; 76,0
77; 3,477; 56,0
94; 5,142; 53,0
1; 2,067; 55,0
6; 1,961; 60,0
60; 3,889; 63,0
62; 4,062; 64,0
64; 3,814; 79,0
67; 3,8; 75,0
71; 3,048; 42,0
74; 3,141; 41,0
77; 2,818; 40,0
84; 4,647; 65,0
71; 2,538; 48,0
77; 2,31; 55,0
92; 4,162; 65,0
94; 4,091; 55,0
70; 1,688; 35,0
73; 2,014; 49,0
76; 2,602; 41,0
3; 2,347; 52,0
54; 2,85; 70,0
3; 2,947; 54,0
10; 2,707; 71,0
34; 3,534; 87,0
51; 3,168; 80,0
52; 2,779; 78,0
63; 3,565; 72,0
70; 1,51; 43,0
73; 2,661; 53,0
76; 2,931; 50,0
78; 3,153; 62,0
85; 5,267; 70,0
86; 4,408; 54,0
3; 3,097; 47,0
94; 5,164; 63,0
1; 2,217; 64,0
6; 2,069; 57,0
56; 3,07; 67,0
58; 2,763; 75,0
60; 4,214; 73,0
62; 5,697; 77,0
64; 5,541; 78,0
67; 5,503; 75,0
71; 4,279; 56,0
74; 4,587; 59,0
77; 4,162; 66,0
63; 4,973; 70,0
70; 4,196; 39,0
73; 4,326; 52,0
86; 6,259; 50,0
97; 6,373; 67,0
70; 3,04; 58,0
73; 4,051; 60,0
3; 2,148; 73,0
70; 2,86; 47,0
73; 3,9; 59,0
76; 3,889; 52,0
78; 4,233; 62,0
3; 1,729; 74,0
70; 2,239; 51,0
73; 2,928; 60,0
78; 3,877; 51,0
3; 2,656; 67,0
60; 2,731; 70,0
74; 3,666; 52,0
77; 2,851; 57,0
56; 3,061; 68,0
60; 3,397; 62,0
71; 3,074; 34,0
74; 3,613; 48,0
77; 3,743; 40,0
84; 4,681; 55,0
94; 4,788; 58,0
67; 4,7; 69,0
71; 3,02; 36,0
74; 3,271; 35,0
77; 2,989; 42,0
76; 3,911; 52,0
85; 6,621; 63,0
77; 4,402; 80,0
94; 6,233; 84,0
41; 2,519; 76,0
1; 1,394; 70,0
6; 1,237; 64,0
15; 1,829; 60,0
52; 3,282; 79,0
54; 3,515; 72,0
63; 5,754; 74,0
73; 4,398; 50,0
3; 1,44; 61,0
10; 1,653; 50,0
1; 1,752; 51,0
6; 1,482; 41,0
